FEN,Move,ELO,CPL,Is_Cheating,ELO_Range
5R2/p2b4/5p2/3r3p/P1nk2pP/5pP1/3p1K2/3N4 b - - 8 47,d7a4,-1,3862,1,
5R2/p7/5p2/3r3p/b1nk2pP/5pP1/3p1K2/3N4 w - - 0 48,f8f6,1003,3,1,1001-1500
8/p7/5R2/3r3p/b1nk2pP/5pP1/3p1K2/3N4 b - - 0 48,a4d1,-1,3,1,
8/p7/5R2/3r3p/2nk2pP/5pP1/3p1K2/3b4 w - - 0 49,f6f4,1003,3919,1,1001-1500
8/p7/8/3r3p/2nk1RpP/5pP1/3p1K2/3b4 b - - 1 49,d4c3,-1,5,1,
8/p7/8/3r3p/2n2RpP/2k2pP1/3p1K2/3b4 w - - 2 50,f4f8,1003,1,1,1001-1500
5R2/p7/8/3r3p/2n3pP/2k2pP1/3p1K2/3b4 b - - 3 50,d1a4,-1,0,1,
5R2/p7/8/3r3p/b1n3pP/2k2pP1/3p1K2/8 w - - 4 51,f8f3,1003,0,1,1001-1500
8/p7/8/3r3p/b1n3pP/2k2RP1/3p1K2/8 b - - 0 51,g4f3,-1,0,1,
8/p7/8/3r3p/b1n4P/2k2pP1/3p1K2/8 w - - 0 52,g3g4,1003,1,1,1001-1500
8/p7/8/3r3p/b1n3PP/2k2p2/3p1K2/8 b - - 0 52,d2d1q,-1,1,1,
8/p7/8/3r3p/b1n3PP/2k2p2/5K2/3q4 w - - 0 53,g4h5,1003,0,1,1001-1500
8/p7/8/3r3P/b1n4P/2k2p2/5K2/3q4 b - - 0 53,d5d4,-1,0,1,
8/p7/8/7P/b1nr3P/2k2p2/5K2/3q4 w - - 1 54,h5h6,1003,0,1,1001-1500
8/p7/7P/8/b1nr3P/2k2p2/5K2/3q4 b - - 0 54,d1e2,-1,0,1,
8/p7/7P/8/b1nr3P/2k2p2/4qK2/8 w - - 1 55,f2g3,1003,0,1,1001-1500
8/p7/7P/8/b1nr3P/2k2pK1/4q3/8 b - - 2 55,e2g2,-1,0,1,
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,1003,4,0,1001-1500
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e7e5,-1,11,0,
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,d2d4,1003,37,0,1001-1500
rnbqkbnr/pppp1ppp/8/4p3/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,b8c6,-1,85,0,
r1bqkbnr/pppp1ppp/2n5/4p3/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 1 3,d4d5,1003,2,0,1001-1500
r1bqkbnr/pppp1ppp/2n5/3Pp3/4P3/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,d8h4,-1,223,0,
r1b1kbnr/pppp1ppp/2n5/3Pp3/4P2q/8/PPP2PPP/RNBQKBNR w KQkq - 1 4,d5c6,1003,2,0,1001-1500
r1b1kbnr/pppp1ppp/2P5/4p3/4P2q/8/PPP2PPP/RNBQKBNR b KQkq - 0 4,f8c5,-1,122,0,
r1b1k1nr/pppp1ppp/2P5/2b1p3/4P2q/8/PPP2PPP/RNBQKBNR w KQkq - 1 5,g1h3,1003,213,0,1001-1500
r1b1k1nr/pppp1ppp/2P5/2b1p3/4P2q/7N/PPP2PPP/RNBQKB1R b KQkq - 2 5,h4e4,-1,6,0,
r1b1k1nr/pppp1ppp/2P5/2b1p3/4q3/7N/PPP2PPP/RNBQKB1R w KQkq - 0 6,f1e2,1003,24,0,1001-1500
r1b1k1nr/pppp1ppp/2P5/2b1p3/4q3/7N/PPP1BPPP/RNBQK2R b KQkq - 1 6,e4g2,-1,33,0,
r1b1k1nr/pppp1ppp/2P5/2b1p3/8/7N/PPP1BPqP/RNBQK2R w KQkq - 0 7,h1g1,1003,424,0,1001-1500
r1b1k1nr/pppp1ppp/2P5/2b1p3/8/7N/PPP1BPqP/RNBQK1R1 b Qkq - 1 7,g2h3,-1,196,0,
r1b1k1nr/pppp1ppp/2P5/2b1p3/8/7q/PPP1BP1P/RNBQK1R1 w Qkq - 0 8,c6d7,1003,218,0,1001-1500
r1b1k1nr/pppP1ppp/8/2b1p3/8/7q/PPP1BP1P/RNBQK1R1 b Qkq - 0 8,c8d7,-1,13,0,
r3k1nr/pppb1ppp/8/2b1p3/8/7q/PPP1BP1P/RNBQK1R1 w Qkq - 0 9,d1d5,1003,2,0,1001-1500
r3k1nr/pppb1ppp/8/2bQp3/8/7q/PPP1BP1P/RNB1K1R1 b Qkq - 1 9,c5f2,-1,330,0,
r3k1nr/pppb1ppp/8/3Qp3/8/7q/PPP1Bb1P/RNB1K1R1 w Qkq - 0 10,e1f2,1003,0,0,1001-1500
r3k1nr/pppb1ppp/8/3Qp3/8/7q/PPP1BK1P/RNB3R1 b kq - 0 10,h3h2,-1,0,0,
r3k1nr/pppb1ppp/8/3Qp3/8/8/PPP1BK1q/RNB3R1 w kq - 0 11,d5g2,1003,13,1,1001-1500
r3k1nr/pppb1ppp/8/4p3/8/8/PPP1BKQq/RNB3R1 b kq - 1 11,h2g2,-1,3,1,
r3k1nr/pppb1ppp/8/4p3/8/8/PPP1BKq1/RNB3R1 w kq - 0 12,g1g2,1003,4,0,1001-1500
r3k1nr/pppb1ppp/8/4p3/8/8/PPP1BKR1/RNB5 b kq - 0 12,g8f6,-1,24,0,
r3k2r/pppb1ppp/5n2/4p3/8/8/PPP1BKR1/RNB5 w kq - 1 13,g2g7,1003,45,0,1001-1500
r3k2r/pppb1pRp/5n2/4p3/8/8/PPP1BK2/RNB5 b kq - 0 13,e8c8,-1,177,0,
2kr3r/pppb1pRp/5n2/4p3/8/8/PPP1BK2/RNB5 w - - 1 14,g7f7,1003,74,0,1001-1500
2kr3r/pppb1R1p/5n2/4p3/8/8/PPP1BK2/RNB5 b - - 0 14,f6e4,-1,53,0,
2kr3r/pppb1R1p/8/4p3/4n3/8/PPP1BK2/RNB5 w - - 1 15,f2e3,1003,92,0,1001-1500
2kr3r/pppb1R1p/8/4p3/4n3/4K3/PPP1B3/RNB5 b - - 2 15,e4d6,-1,4,1,
2kr3r/pppb1R1p/3n4/4p3/8/4K3/PPP1B3/RNB5 w - - 3 16,f7f6,1003,1,0,1001-1500
2kr3r/pppb3p/3n1R2/4p3/8/4K3/PPP1B3/RNB5 b - - 4 16,h7h5,-1,22,1,
2kr3r/pppb4/3n1R2/4p2p/8/4K3/PPP1B3/RNB5 w - - 0 17,b1c3,1003,9,0,1001-1500
2kr3r/pppb4/3n1R2/4p2p/8/2N1K3/PPP1B3/R1B5 b - - 1 17,h5h4,-1,0,0,
2kr3r/pppb4/3n1R2/4p3/7p/2N1K3/PPP1B3/R1B5 w - - 0 18,c1d2,1003,0,0,1001-1500
2kr3r/pppb4/3n1R2/4p3/7p/2N1K3/PPPBB3/R7 b - - 1 18,h4h3,-1,18,0,
2kr3r/pppb4/3n1R2/4p3/8/2N1K2p/PPPBB3/R7 w - - 0 19,a1h1,1003,0,0,1001-1500
2kr3r/pppb4/3n1R2/4p3/8/2N1K2p/PPPBB3/7R b - - 1 19,h3h2,-1,4,0,
2kr3r/pppb4/3n1R2/4p3/8/2N1K3/PPPBB2p/7R w - - 0 20,f6f2,1003,289,0,1001-1500
2kr3r/pppb4/3n4/4p3/8/2N1K3/PPPBBR1p/7R b - - 1 20,d6f5,-1,10,1,
2kr3r/pppb4/8/4pn2/8/2N1K3/PPPBBR1p/7R w - - 2 21,e3e4,1003,363,0,1001-1500
2kr3r/pppb4/8/4pn2/4K3/2N5/PPPBBR1p/7R b - - 3 21,f5g3,-1,7,0,
2kr3r/pppb4/8/4p3/4K3/2N3n1/PPPBBR1p/7R w - - 4 22,e4e5,1003,11,0,1001-1500
2kr3r/pppb4/8/4K3/8/2N3n1/PPPBBR1p/7R b - - 0 22,g3h1,-1,5,0,
2kr3r/pppb4/8/4K3/8/2N5/PPPBBR1p/7n w - - 0 23,f2f1,1003,174,0,1001-1500
2kr3r/pppb4/8/4K3/8/2N5/PPPBB2p/5R1n b - - 1 23,h1g3,-1,121,0,
2kr3r/pppb4/8/4K3/8/2N3n1/PPPBB2p/5R2 w - - 2 24,f1d1,1003,7,1,1001-1500
2kr3r/pppb4/8/4K3/8/2N3n1/PPPBB2p/3R4 b - - 3 24,d8e8,-1,71,1,
2k1r2r/pppb4/8/4K3/8/2N3n1/PPPBB2p/3R4 w - - 4 25,e5f4,1003,183,0,1001-1500
2k1r2r/pppb4/8/8/5K2/2N3n1/PPPBB2p/3R4 b - - 5 25,g3e2,-1,284,1,
2k1r2r/pppb4/8/8/5K2/2N5/PPPBn2p/3R4 w - - 0 26,f4f3,1003,1070,0,1001-1500
2k1r2r/pppb4/8/8/8/2N2K2/PPPBn2p/3R4 b - - 1 26,e2c3,-1,1121,0,
2k1r2r/pppb4/8/8/8/2n2K2/PPPB3p/3R4 w - - 0 27,d2c3,1003,44,0,1001-1500
2k1r2r/pppb4/8/8/8/2B2K2/PPP4p/3R4 b - - 0 27,h8h3,-1,110,1,
2k1r3/pppb4/8/8/8/2B2K1r/PPP4p/3R4 w - - 1 28,f3g2,1003,15,0,1001-1500
2k1r3/pppb4/8/8/8/2B4r/PPP3Kp/3R4 b - - 2 28,e8e2,-1,1,1,
2k5/pppb4/8/8/8/2B4r/PPP1r1Kp/3R4 w - - 3 29,g2f1,1003,0,1,1001-1500
2k5/pppb4/8/8/8/2B4r/PPP1r2p/3R1K2 b - - 4 29,h3e3,-1,0,1,
2k5/pppb4/8/8/8/2B1r3/PPP1r2p/3R1K2 w - - 5 30,c3d4,1003,0,0,1001-1500
2k5/pppb4/8/8/3B4/4r3/PPP1r2p/3R1K2 b - - 6 30,h2h1q,-1,0,0,
